Unnamed: 0,outageStartTime,crewCurrentStatus,currentEtor,cause,estCustAffected,lastUpdateTime,hazardFlag,latitude,longitude,regionName,estimated_end_time,first_spotted_time,autoEtor,outageDevices,crewEta,crewEta.1
1116456,1602608676,PG&E assessment crew is en route to the outage.,1602620100,Unknown - PG&E will be assessing the cause.,1,1602609963,0,37.26271,-121.97366,Los Gatos,2020-10-13 10:56:24-07:00,2020-10-13 10:22:22-07:00,1602620100,,,
1116457,1602608690,PG&E assessment crew is en route to the outage.,1602619200,Unknown - PG&E will be assessing the cause.,1,1602610347,0,35.35103,-119.04288,Bakersfield,2020-10-13 10:56:24-07:00,2020-10-13 10:22:22-07:00,1602619200,,,
1116458,1602608696,PG&E has assigned a crew to assess the outage.,1602619200,Unknown - PG&E will be assessing the cause.,1,1602609907,0,37.40206,-122.05294,Mountain View,2020-10-13 10:56:24-07:00,2020-10-13 10:22:22-07:00,1602619200,,,
1116459,1602608703,PG&E is assessing the cause at the outage location.,1602619200,PG&E is investigating the cause of your outage.,11,1602610216,0,36.1412,-120.35238,Coalinga,2020-10-13 10:56:24-07:00,2020-10-13 10:22:22-07:00,1602619200,,,
1116460,1602608721,PG&E has assigned a crew to assess the outage.,1602618300,Unknown - PG&E will be assessing the cause.,1,1602609051,0,37.26853,-121.89548,San Jose,2020-10-13 10:56:24-07:00,2020-10-13 10:22:22-07:00,1602618300,,,
1116462,1602608527,PG&E has assigned a crew to assess the outage.,1602619200,Our preliminary determination is that your outage was caused by scheduled maintenance work.,2,1602608845,0,35.34918,-119.24418,Rosedale,2020-10-13 10:56:24-07:00,2020-10-13 10:22:22-07:00,,,,
1116463,1602608840,PG&E repair crew is on-site working to restore power.,1602657000,Our preliminary determination is that your outage was caused by an equipment issue.,1,1602640606,0,35.13079,-120.58802,Arroyo Grande,2020-10-13 20:06:21-07:00,2020-10-13 10:22:22-07:00,1602620100,,1602640560,1602640560
1116464,1602608864,PG&E is assessing the cause at the outage location.,1602614700,PG&E is investigating the cause of your outage.,1,1602609951,0,37.28768,-120.79762,Stevinson,2020-10-13 10:56:24-07:00,2020-10-13 10:22:22-07:00,1602614700,,1602608940,1602608940
1116465,1602608865,PG&E assessment crew is en route to the outage.,,Unknown - PG&E will be assessing the cause.,1,1602609000,0,38.25937,-122.63678,Petaluma,2020-10-13 10:56:24-07:00,2020-10-13 10:22:22-07:00,,,1602613080,1602613080
1116467,1602608919,PG&E has assigned a crew to assess the outage.,1602619200,Unknown - PG&E will be assessing the cause.,1,1602608923,0,37.83341,-122.21363,Oakland,2020-10-13 10:56:24-07:00,2020-10-13 10:22:22-07:00,1602619200,,,
1116468,1602608663,PG&E repair crew is on-site working to restore power.,1602617400,Our preliminary determination is that your outage was caused by scheduled maintenance work.,1,1602608971,0,36.71973,-119.58832,Sanger,2020-10-13 10:56:24-07:00,2020-10-13 10:22:22-07:00,,,,
1116470,1602608980,PG&E repair crew is on-site working to restore power.,1602644400,Our preliminary determination is that your outage was caused by scheduled maintenance work.,10,1602624954,0,37.52089,-122.30043,Belmont,2020-10-13 17:06:24-07:00,2020-10-13 10:22:22-07:00,,,,
1116472,1602609013,PG&E repair crew is on-site working to restore power.,1602662400,Our preliminary determination is that your outage was caused by an equipment issue.,1,1602648385,0,38.57499,-121.65263,Davis,2020-10-14 00:38:15-07:00,2020-10-13 10:22:22-07:00,1602621000,,1602635400,1602635400
1116473,1602609045,PG&E is assessing the cause at the outage location.,,PG&E is investigating the cause of your outage.,1,1602610464,1,40.36455,-122.2084,Lake California,2020-10-13 10:56:24-07:00,2020-10-13 10:22:22-07:00,,,1602612240,1602612240
1116475,1602609246,PG&E has assigned a crew to assess the outage.,1602799200,Our preliminary determination is that your outage was caused by scheduled maintenance work.,1,1602722189,0,37.28754,-121.96849,Campbell,2020-10-15 06:33:32-07:00,2020-10-13 10:22:22-07:00,,,,
1116478,1602609407,PG&E has assigned a crew to assess the outage.,1602622800,Unknown - PG&E will be assessing the cause.,1,1602609808,1,38.09522,-120.87102,Rancho Calaveras,2020-10-13 10:56:24-07:00,2020-10-13 10:29:36-07:00,1602622800,,,
1116479,1602609420,PG&E has assigned a crew to assess the outage.,1602618300,Unknown - PG&E will be assessing the cause.,1,1602609737,1,38.89841,-121.06193,Auburn,2020-10-13 10:56:24-07:00,2020-10-13 10:29:36-07:00,1602618300,,,
1116481,1602609439,PG&E has assigned a crew to assess the outage.,1602620100,Unknown - PG&E will be assessing the cause.,1,1602609903,0,37.78012,-120.80539,East Oakdale,2020-10-13 10:56:24-07:00,2020-10-13 10:29:36-07:00,1602620100,,,
1116482,1602609466,PG&E has assigned a crew to assess the outage.,1602619200,Unknown - PG&E will be assessing the cause.,1,1602609922,1,36.74367,-119.75576,Fresno,2020-10-13 10:56:24-07:00,2020-10-13 10:29:36-07:00,1602619200,,,
1116484,1602609530,PG&E has assigned a crew to assess the outage.,1602626400,Unknown - PG&E will be assessing the cause.,1,1602610633,1,37.05132,-122.04572,Felton,2020-10-13 10:56:24-07:00,2020-10-13 10:29:36-07:00,1602626400,,,
1116486,1602609578,PG&E is assessing the cause at the outage location.,1602621900,Our preliminary determination is that your outage was caused by an equipment issue.,14,1602610686,0,37.66769,-121.86732,Pleasanton,2020-10-13 10:56:24-07:00,2020-10-13 10:29:36-07:00,1602621900,,,
1116487,1602609675,PG&E repair crew is on-site working to restore power.,1602666000,Our preliminary determination is that your outage was caused by an equipment issue.,4,1602664154,0,37.39585,-122.06212,Mountain View,2020-10-14 01:56:53-07:00,2020-10-13 10:29:36-07:00,1602620100,,1602641160,1602649380
1116488,1602609685,PG&E repair crew is on-site working to restore power.,1602613500,We are clearing vegetation to address potential safety risks in your area.,2,1602610760,0,38.54191,-120.74506,Fiddletown,2020-10-13 10:56:24-07:00,2020-10-13 10:29:36-07:00,,,,
1116489,1602609763,PG&E assessment crew is en route to the outage.,1602622800,Unknown - PG&E will be assessing the cause.,1,1602609885,0,35.38336,-119.20326,Rosedale,2020-10-13 10:56:24-07:00,2020-10-13 10:29:36-07:00,1602622800,,,
1116490,1602609803,PG&E assessment crew is en route to the outage.,1602620100,Unknown - PG&E will be assessing the cause.,90,1602610478,0,37.3799,-121.85396,San Jose,2020-10-13 10:56:24-07:00,2020-10-13 10:29:36-07:00,1602620100,,,
1116491,1602610153,PG&E has assigned a crew to assess the outage.,1602620100,Unknown - PG&E will be assessing the cause.,22,1602610774,0,37.7083,-122.14582,San Leandro,2020-10-13 10:56:24-07:00,2020-10-13 10:37:38-07:00,1602620100,,,
1116492,1570982580,PG&E has assigned a crew to assess the outage.,1602630000,Our preliminary determination is that your outage was caused by scheduled maintenance work.,9,1602610619,0,37.94946,-120.36117,Sonora,2020-10-13 10:56:24-07:00,2020-10-13 10:46:24-07:00,,"[{'latitude': '37.95038', 'longitude': '-120.35907'}, {'latitude': '37.95044', 'longitude': '-120.35557'}, {'latitude': '37.95225', 'longitude': '-120.35784'}, {'latitude': '37.95099', 'longitude': '-120.36237'}]",,
1116493,1602610273,PG&E has assigned a crew to assess the outage.,,Unknown - PG&E will be assessing the cause.,1,1602610460,1,38.39206,-122.47056,Glen Ellen,2020-10-13 10:56:24-07:00,2020-10-13 10:46:24-07:00,,,,
1116494,1602610394,PG&E has assigned a crew to assess the outage.,1602621900,Unknown - PG&E will be assessing the cause.,1,1602610532,1,39.06201,-122.91948,Lakeport,2020-10-13 10:56:24-07:00,2020-10-13 10:46:24-07:00,1602621900,,,
1116495,1602610432,PG&E assessment crew is en route to the outage.,1602621900,Unknown - PG&E will be assessing the cause.,1,1602610730,0,37.07146,-121.51795,Gilroy,2020-10-13 10:56:24-07:00,2020-10-13 10:46:24-07:00,1602621900,,1602611580,1602611580
1116497,1602611100,PG&E repair crew is on-site working to restore power.,1602633600,Our preliminary determination is that your outage was caused by scheduled maintenance work.,1,1602625273,0,39.7869,-121.58631,Paradise,2020-10-13 15:06:20-07:00,2020-10-13 10:46:24-07:00,,,,
1116498,1602610583,PG&E has assigned a crew to assess the outage.,1602621900,Unknown - PG&E will be assessing the cause.,1,1602610837,1,38.96524,-122.64982,Clearlake,2020-10-13 10:56:24-07:00,2020-10-13 10:46:24-07:00,1602621900,,,
1116499,1602610307,PG&E repair crew is on-site working to restore power.,1602615600,Our preliminary determination is that your outage was caused by scheduled maintenance work.,12,1602610619,0,36.70203,-119.55842,Sanger,2020-10-13 10:56:24-07:00,2020-10-13 10:46:24-07:00,,,,
1116500,1602610718,PG&E has assigned a crew to assess the outage.,1602620100,Unknown - PG&E will be assessing the cause.,1,1602610722,1,36.74729,-119.74265,Fresno,2020-10-13 10:56:24-07:00,2020-10-13 10:46:24-07:00,1602620100,,,
1116501,1602610852,PG&E has assigned a crew to assess the outage.,1602619200,Unknown - PG&E will be assessing the cause.,1,1602610853,0,37.48952,-122.23975,Redwood City,2020-10-13 10:56:24-07:00,2020-10-13 10:46:24-07:00,1602619200,,,
1116502,1602610560,PG&E repair crew is on-site working to restore power.,1602626400,Our preliminary determination is that your outage was caused by scheduled maintenance work.,1,1602610940,0,38.55624,-121.53971,West Sacramento,2020-10-13 13:36:18-07:00,2020-10-13 13:26:18-07:00,,,,
1116511,1602611380,PG&E is assessing the cause at the outage location.,1602622800,PG&E is investigating the cause of your outage.,18,1602620298,0,37.25325,-121.96778,Los Gatos,2020-10-13 13:48:04-07:00,2020-10-13 13:26:18-07:00,1602622800,"[{'latitude': '37.25323', 'longitude': '-121.96819'}, {'latitude': '37.25326', 'longitude': '-121.96863'}, {'latitude': '37.25329', 'longitude': '-121.96916'}, {'latitude': '37.25332', 'longitude': '-121.96972'}]",,
1116514,1602611502,PG&E is assessing the cause at the outage location.,1602630060,PG&E is investigating the cause of your outage.,1,1602620284,0,36.71765,-119.77331,Fresno,2020-10-13 14:06:35-07:00,2020-10-13 13:26:18-07:00,,,1602621180,1602621180
1116525,1602612210,PG&E has assigned a crew to assess the outage.,1602628200,PG&E is investigating the cause of your outage.,1,1602619275,1,37.22661,-121.94428,Los Gatos,2020-10-13 14:56:41-07:00,2020-10-13 13:26:18-07:00,,,,
1116531,1602612755,PG&E is assessing the cause at the outage location.,1602624600,PG&E is investigating the cause of your outage.,1,1602617816,0,40.77866,-124.16462,Eureka,2020-10-13 13:48:04-07:00,2020-10-13 13:26:18-07:00,1602624600,,,
1116534,1602612967,PG&E is assessing the cause at the outage location.,1602631800,PG&E is investigating the cause of your outage.,1,1602621188,1,37.46749,-122.24852,Redwood City,2020-10-13 14:06:35-07:00,2020-10-13 13:26:18-07:00,,,,
1116537,1602613004,PG&E is assessing the cause at the outage location.,1602625020,PG&E is investigating the cause of your outage.,1,1602620430,0,36.78147,-119.8349,Fresno,2020-10-13 13:48:04-07:00,2020-10-13 13:26:18-07:00,,,,
1116540,1602613122,PG&E is assessing the cause at the outage location.,1602623700,PG&E is investigating the cause of your outage.,1,1602620871,1,37.23566,-121.89776,San Jose,2020-10-13 13:56:28-07:00,2020-10-13 13:26:18-07:00,1602623700,,,
1116543,1602613196,PG&E is assessing the cause at the outage location.,,PG&E is investigating the cause of your outage.,1,1602617358,0,38.2195,-122.35411,Napa,2020-10-13 14:32:50-07:00,2020-10-13 13:26:18-07:00,,,,
1116546,1602613481,PG&E is assessing the cause at the outage location.,1602628200,PG&E is investigating the cause of your outage.,1,1602617616,0,38.00977,-121.03321,Linden,2020-10-13 13:48:04-07:00,2020-10-13 13:26:18-07:00,,,1602617280,1602617280
1116548,1602613612,PG&E assessment crew is en route to the outage.,1602633600,Unknown - PG&E will be assessing the cause.,1,1602625425,1,37.22975,-121.96018,Los Gatos,2020-10-13 15:06:20-07:00,2020-10-13 13:26:18-07:00,1602626400,,,
1116549,1602613623,PG&E is assessing the cause at the outage location.,1602622800,PG&E is investigating the cause of your outage.,1,1602619866,0,37.33973,-121.92827,San Jose,2020-10-13 13:48:04-07:00,2020-10-13 13:26:18-07:00,1602622800,,,
