Unnamed: 0,outageStartTime,crewCurrentStatus,currentEtor,cause,estCustAffected,lastUpdateTime,hazardFlag,latitude,longitude,regionName,estimated_end_time,first_spotted_time,autoEtor,outageDevices,crewEta,crewEta.1
714589,1574718479,PG&E is assessing the cause at the outage location.,1574734440.0,PG&E is investigating the cause of your outage.,1,1574727683,1,38.7388,-121.21488,Granite Bay,2019-11-25 16:50:21-08:00,2019-11-25 14:00:46-08:00,1574728200.0,,1574728140.0,1574728140.0
714590,1574718572,PG&E is assessing the cause at the outage location.,1574730900.0,PG&E is investigating the cause of your outage.,1,1574723101,0,39.00663,-120.85224,Foresthill,2019-11-25 16:20:11-08:00,2019-11-25 14:00:46-08:00,1574730900.0,,,
714591,1574718610,PG&E repair crew is on-site working to restore power.,1574744400.0,Our preliminary determination is that your outage was caused by an equipment issue.,7,1574727566,2,37.37495,-120.61452,Winton,2019-11-25 20:00:31-08:00,2019-11-25 14:00:46-08:00,1574730000.0,"[{'latitude': '37.37505', 'longitude': '-120.6183'}, {'latitude': '37.37673', 'longitude': '-120.61828'}, {'latitude': '37.37674', 'longitude': '-120.61828'}, {'latitude': '37.37628', 'longitude': '-120.61829'}]",1574724420.0,1574724420.0
714592,1574718662,PG&E is assessing the cause at the outage location.,1574728200.0,PG&E is investigating the cause of your outage.,1,1574726819,0,36.76722,-119.77119,Fresno,2019-11-25 16:30:34-08:00,2019-11-25 14:00:46-08:00,1574728200.0,,1574728920.0,1574728920.0
714593,1574718666,PG&E is assessing the cause at the outage location.,1574730000.0,PG&E is investigating the cause of your outage.,1,1574721082,0,39.23979,-121.66233,Live Oak,2019-11-25 15:00:16-08:00,2019-11-25 14:00:46-08:00,1574730000.0,,1574722620.0,1574722620.0
714594,1574718700,PG&E is assessing the cause at the outage location.,1574724600.0,PG&E is investigating the cause of your outage.,1,1574719589,1,36.76044,-119.83455,Fresno,2019-11-25 14:40:25-08:00,2019-11-25 14:10:23-08:00,1574724600.0,,,
714595,1574718726,PG&E is assessing the cause at the outage location.,1574730900.0,PG&E is investigating the cause of your outage.,1,1574724865,1,35.50389,-120.6781,Atascadero,2019-11-25 16:11:28-08:00,2019-11-25 14:10:23-08:00,1574730900.0,,,
714597,1574718741,PG&E assessment crew is en route to the outage.,1574730000.0,Unknown - PG&E will be assessing the cause.,1,1574719499,1,37.34672,-120.61033,Atwater,2019-11-25 16:40:39-08:00,2019-11-25 14:10:23-08:00,1574730000.0,,,
714603,1574718796,PG&E is assessing the cause at the outage location.,1574732880.0,PG&E is investigating the cause of your outage.,1,1574725721,1,39.30831,-121.67375,Gridley,2019-11-25 16:30:34-08:00,2019-11-25 14:10:23-08:00,1574724600.0,,,
714605,1574718809,PG&E has assigned a crew to assess the outage.,1574729100.0,Unknown - PG&E will be assessing the cause.,1,1574720520,1,37.35879,-121.84511,San Jose,2019-11-25 14:40:25-08:00,2019-11-25 14:10:23-08:00,1574729100.0,,1574722740.0,1574722740.0
714606,1574718600,PG&E repair crew is on-site working to restore power.,1574751600.0,Our preliminary determination is that your outage was caused by an equipment issue.,77,1574738085,3,37.26686,-121.82181,San Jose,2019-11-25 19:30:32-08:00,2019-11-25 14:10:23-08:00,1574729100.0,"[{'latitude': '37.26887', 'longitude': '-121.82647'}, {'latitude': '37.27244', 'longitude': '-121.82969'}, {'latitude': '37.27027', 'longitude': '-121.82847'}, {'latitude': '37.26964', 'longitude': '-121.82758'}, {'latitude': '37.2692', 'longitude': '-121.82695'}]",1574721060.0,1574721060.0
714607,1574718814,PG&E assessment crew is en route to the outage.,1574730900.0,Unknown - PG&E will be assessing the cause.,1,1574719125,1,37.68347,-121.2763,Tracy,2019-11-25 15:50:29-08:00,2019-11-25 14:10:23-08:00,1574730900.0,,,
714610,1574718859,PG&E is assessing the cause at the outage location.,1574730900.0,PG&E is investigating the cause of your outage.,1,1574720357,1,36.97602,-121.95275,Capitola,2019-11-25 14:50:21-08:00,2019-11-25 14:10:23-08:00,1574730900.0,,1574720280.0,1574720280.0
714611,1574718895,PG&E is sending a repair crew to the outage location.,1574755080.0,PG&E is investigating the cause of your outage.,6,1574747749,2,37.34841,-121.81464,San Jose,2019-11-25 22:10:49-08:00,2019-11-25 14:10:23-08:00,1574729100.0,,,
714612,1574718931,PG&E is assessing the cause at the outage location.,1574730000.0,PG&E is investigating the cause of your outage.,1,1574721318,1,37.25996,-119.74259,Coarsegold,2019-11-25 15:11:18-08:00,2019-11-25 14:10:23-08:00,1574730000.0,,1574722140.0,1574722140.0
714613,1574719076,PG&E has assigned a crew to assess the outage.,1574725500.0,Unknown - PG&E will be assessing the cause.,1,1574719364,0,36.37187,-121.33799,Soledad,2019-11-25 15:11:18-08:00,2019-11-25 14:10:23-08:00,1574725500.0,,,
714614,1574719075,PG&E is assessing the cause at the outage location.,1574725500.0,PG&E is investigating the cause of your outage.,3,1574721001,0,36.3631,-121.35955,Soledad,2019-11-25 15:11:18-08:00,2019-11-25 14:10:23-08:00,1574725500.0,,,
714615,1574719094,PG&E has assigned a crew to assess the outage.,1574753820.0,Unknown - PG&E will be assessing the cause.,1,1574740699,0,37.24123,-121.78513,San Jose,2019-11-25 23:30:16-08:00,2019-11-25 14:10:23-08:00,1574730000.0,,,
714616,1574719110,PG&E is assessing the cause at the outage location.,1574728200.0,PG&E is investigating the cause of your outage.,1,1574722151,0,37.66649,-122.45506,South San Francisco,2019-11-25 16:00:14-08:00,2019-11-25 14:10:23-08:00,1574728200.0,,,
714617,1574719080,PG&E has assigned a crew to assess the outage.,1574730900.0,PG&E is investigating the cause of your outage.,2,1574727569,0,37.81706,-120.94223,Escalon,2019-11-25 17:10:30-08:00,2019-11-25 14:10:23-08:00,1574730900.0,,1574722260.0,1574722260.0
714618,1574719320,PG&E repair crew is on-site working to restore power.,1574733600.0,Our preliminary determination is that your outage was caused by an equipment issue.,27,1574725351,0,36.38688,-121.33681,Soledad,2019-11-25 16:30:34-08:00,2019-11-25 14:20:20-08:00,1574725500.0,"[{'latitude': '36.35641', 'longitude': '-121.35993'}, {'latitude': '36.36824', 'longitude': '-121.34284'}, {'latitude': '36.37187', 'longitude': '-121.33799'}, {'latitude': '36.37641', 'longitude': '-121.33697'}, {'latitude': '36.37985', 'longitude': '-121.33969'}, {'latitude': '36.38106', 'longitude': '-121.34883'}, {'latitude': '36.3631', 'longitude': '-121.35955'}]",1574724600.0,1574724600.0
714619,1574719554,PG&E is assessing the cause at the outage location.,1574729100.0,PG&E is investigating the cause of your outage.,1,1574720657,1,38.45127,-122.70455,Santa Rosa,2019-11-25 14:50:21-08:00,2019-11-25 14:20:20-08:00,1574729100.0,,,
714620,1574719560,PG&E repair crew is en route to the outage location.,1574730000.0,Our preliminary determination is that your outage was caused by an equipment issue.,16,1574724827,3,37.32063,-120.44886,Merced,2019-11-25 15:50:29-08:00,2019-11-25 14:20:20-08:00,1574730000.0,"[{'latitude': '37.32085', 'longitude': '-120.44885'}, {'latitude': '37.32374', 'longitude': '-120.44879'}, {'latitude': '37.32239', 'longitude': '-120.44899'}]",1574725500.0,1574725500.0
714621,1574712720,PG&E is assessing the cause at the outage location.,1574730480.0,PG&E is investigating the cause of your outage.,1,1574729121,0,38.97749,-121.01878,Meadow Vista,2019-11-25 17:00:24-08:00,2019-11-25 14:20:20-08:00,1574722800.0,,,
714625,1574719695,PG&E has assigned a crew to assess the outage.,1574732700.0,Unknown - PG&E will be assessing the cause.,3,1574719704,0,38.67925,-121.87629,Monument Hills,2019-11-25 14:30:20-08:00,2019-11-25 14:20:20-08:00,1574732700.0,,,
714626,1574719620,PG&E repair crew is on-site working to restore power.,1574762400.0,Our preliminary determination is that your outage was caused by an equipment issue.,157,1574751968,1,38.10671,-122.24117,Vallejo,2019-11-25 23:20:21-08:00,2019-11-25 14:20:20-08:00,1574729100.0,"[{'latitude': '38.10692', 'longitude': '-122.25326'}, {'latitude': '38.10749', 'longitude': '-122.25179'}, {'latitude': '38.1075', 'longitude': '-122.25247'}, {'latitude': '38.10755', 'longitude': '-122.25613'}, {'latitude': '38.10757', 'longitude': '-122.25783'}]",,
714627,1574719757,PG&E is assessing the cause at the outage location.,1574729100.0,PG&E is investigating the cause of your outage.,1,1574721331,1,39.14754,-121.58013,Marysville,2019-11-25 15:00:16-08:00,2019-11-25 14:20:20-08:00,1574729100.0,,,
714628,1574719874,PG&E is assessing the cause at the outage location.,1574738100.0,PG&E is investigating the cause of your outage.,8,1574731205,0,36.94625,-119.6636,Clovis,2019-11-25 18:00:28-08:00,2019-11-25 14:20:20-08:00,1574730900.0,,,
714629,1574719878,PG&E is assessing the cause at the outage location.,1574754480.0,PG&E is investigating the cause of your outage.,15,1574739465,0,37.31937,-122.07462,Cupertino,2019-11-25 20:00:31-08:00,2019-11-25 14:20:20-08:00,1574730900.0,,,
714631,1574719941,PG&E is assessing the cause at the outage location.,1574726400.0,PG&E is investigating the cause of your outage.,1,1574722485,1,36.78348,-119.81736,Fresno,2019-11-25 15:11:18-08:00,2019-11-25 14:20:20-08:00,1574726400.0,,,
714633,1574719993,PG&E has assigned a crew to assess the outage.,1574729100.0,Unknown - PG&E will be assessing the cause.,1,1574725194,0,38.10654,-122.2544,Vallejo,2019-11-25 16:00:14-08:00,2019-11-25 14:20:20-08:00,1574729100.0,,,
714634,1574719995,PG&E has assigned a crew to assess the outage.,1574730900.0,Unknown - PG&E will be assessing the cause.,1,1574720169,1,38.00786,-122.5581,San Rafael,2019-11-25 14:30:20-08:00,2019-11-25 14:20:20-08:00,1574730900.0,,,
714635,1574719860,PG&E repair crew is on-site working to restore power.,1574755140.0,Our preliminary determination is that your outage was caused by an equipment issue.,17,1574745963,1,36.9794,-121.86713,Aptos,2019-11-25 21:50:23-08:00,2019-11-25 14:20:20-08:00,1574734500.0,"[{'latitude': '36.98855', 'longitude': '-121.83876'}, {'latitude': '36.98889', 'longitude': '-121.83817'}, {'latitude': '36.99001', 'longitude': '-121.83774'}, {'latitude': '36.99253', 'longitude': '-121.83869'}, {'latitude': '36.99187', 'longitude': '-121.83978'}, {'latitude': '36.99011', 'longitude': '-121.83988'}]",1574723760.0,1574741760.0
714636,1574720034,PG&E is assessing the cause at the outage location.,1574732700.0,PG&E is investigating the cause of your outage.,1,1574721901,1,37.83169,-121.28501,Lathrop,2019-11-25 16:00:14-08:00,2019-11-25 14:20:20-08:00,1574732700.0,,,
714637,1574720105,PG&E is assessing the cause at the outage location.,1574731800.0,PG&E is investigating the cause of your outage.,1,1574724892,1,39.74485,-122.01423,Hamilton City,2019-11-25 15:50:29-08:00,2019-11-25 14:20:20-08:00,1574731800.0,,,
714638,1574720113,PG&E is assessing the cause at the outage location.,1574729100.0,PG&E is investigating the cause of your outage.,1,1574727926,1,36.97679,-120.08533,Madera,2019-11-25 16:40:39-08:00,2019-11-25 14:20:20-08:00,1574729100.0,,,
714639,1574720117,PG&E is assessing the cause at the outage location.,1574754480.0,PG&E is investigating the cause of your outage.,1,1574743605,1,37.32143,-121.79961,San Jose,2019-11-25 21:10:58-08:00,2019-11-25 14:20:20-08:00,1574730900.0,,1574744220.0,1574744220.0
714640,1574720160,PG&E is assessing the cause at the outage location.,1574733600.0,PG&E is investigating the cause of your outage.,1,1574724835,1,37.56826,-122.32385,San Mateo,2019-11-25 16:00:14-08:00,2019-11-25 14:20:20-08:00,1574726400.0,,,
